benchmark,add,and,ashr,br,fadd,fcmp,fdiv,fmul,fsub,icmp,indirectbr,load,lshr,mul,or,sdiv,shl,srem,store,sub,udiv,urem,xor
Misc/richards_benchmark,70486171.0,29999997.0,9999999.0,1031623640.0,0,0,0,0,0,605279377.0,0,3087980991.0,0,0,47356252.0,0,0,0,1417148187,2326391.0,0,0,5000081.0
Misc/flops-4,156249999.0,0,0,468749999.0,1093750007.0,0,4.0,1250000011.0,3.0,156250000.0,0,3281250032.0,0,1.0,0,0,0,0,625000022,156250000.0,0,0,0
Misc/dt,268568576.0,0,0,805967876.0,2048.0,0,268435456.0,4096.0,0,268699650.0,0,2147893254.0,0,0,0,0,0,0,537139207,2048.0,0,0,0
Misc/flops-2,312500000.0,0,0,937500004.0,781250001.0,0,156250004.0,156250005.0,625000004.0,312500002.0,0,3593750027.0,0,1.0,0,0,0,0,1562500027,0,0,0,0
Misc/whetstone,293500001.0,0,0,890100047.0,368900000.0,0,114000000.0,229000000.0,51200000.0,334000023.0,0,3491400195.0,0,147000008.0,0,0,0,0,1399900132,147000000.0,0,0,0
Misc/pi,71314972.0,0,0,191314974.0,80000000.0,40000000.0,120000001.0,160000002.0,40000000.0,40000001.0,0,1031314983.0,0,80000000.0,0,40000000.0,0,0,471314984,40000000.0,0,0,0
Misc/revertBits,0,24.0,0,0,0,0,0,0,0,0,0,28.0,12.0,0,16.0,0,12.0,0,13,0,0,0,0
Misc/mandel-2,156847507.0,0,0,784234053.0,627367980.0,313683990.0,12168.0,941058054.0,156845037.0,156853670.0,0,3136917927.0,0,0,0,0,0,0,1411638303,0,0,0,0
Misc/fbench,19000060.0,0,0,206000108.0,60000000.0,52000000.0,82000001.0,102000000.0,67000000.0,56000044.0,0,708000186.0,0,0,0,0,0,0,249000066,0,0,0,0
Misc/mandel,25005000.0,0,0,200025002.0,175000000.0,50000000.0,50000000.0,200000000.0,50000000.0,50010001.0,0,575015003.0,0,0,0,0,0,0,400010002,0,0,0,0
Misc/flops-7,156249999.0,0,0,468749999.0,468750002.0,0,468750002.0,468750003.0,468750001.0,156250000.0,0,2812500012.0,0,2.0,0,0,0,0,625000020,156250000.0,0,0,0
Misc/ffbench,533789572.0,253952.0,128772.0,284401274.0,198439180.0,131072.0,2017.0,264571792.0,198310661.0,99123017.0,0,3154786855.0,0,148207.0,0,2268.0,2268.0,0,682022484,20043450.0,0,0,0
Misc/evalloop,204804094.0,0,0,409806145.0,0,0,0,0,0,102049.0,204700000.0,1228608191.0,0,0,0,0,0,2047.0,819204099,0,0,0,0
Stanford/Quicksort,5100000.0,500000.0,0,28188602.0,0,0,0,0,0,14166601.0,0,77817301.0,0,1000000.0,0,943400.0,0,0,17423602,5416300.0,0,0,0
Stanford/FloatMM,360605080.0,16000000.0,0,1051050042.0,320000000.0,0,16000000.0,320000000.0,0,353225001.0,0,4369835121.0,0,32000000.0,0,16000000.0,0,0,769240002,32000000.0,0,0,0
Stanford/Oscar,3607390.0,8620.0,0,1567772.0,617670.0,0,6870.0,931740.0,1081070.0,728911.0,0,18144851.0,0,7370.0,0,280.0,0,0,1749432,2520.0,0,0,0
Stanford/RealMM,721230.0,32000.0,0,2102092.0,640000.0,0,32000.0,640000.0,0,706441.0,0,8739691.0,0,64000.0,0,32000.0,0,0,1538482,64000.0,0,0,0
Stanford/Towers,1641600.0,0,0,17990502.0,0,0,0,0,0,9813501.0,0,75299901.0,0,0,0,0,0,0,38520302,3278200.0,0,0,0
Stanford/Treesort,1500100.0,500000.0,0,42824702.0,0,0,0,0,0,21911901.0,0,85369101.0,0,1000000.0,0,500000.0,0,0,21133602,1000000.0,0,0,0
Stanford/Puzzle,88115000.0,0,0,343161802.0,0,0,0,0,0,170502101.0,0,586734501.0,0,40400.0,0,0,0,0,92341602,200500.0,0,0,0
Stanford/Bubblesort,37892600.0,50000.0,0,44346802.0,0,0,0,0,0,25200001.0,0,133124601.0,0,100000.0,0,50000.0,0,0,32039802,149900.0,0,0,0
Stanford/IntMM,1361230.0,32000.0,0,2102092.0,0,0,0,0,0,706441.0,0,8739691.0,0,704000.0,0,32000.0,0,0,1538482,64000.0,0,0,0
Stanford/Queens,10200200.0,0,0,30680502.0,0,0,0,0,0,18810201.0,0,65135501.0,0,0,0,0,0,0,17440302,2290000.0,0,0,0
Olden/treeadd,210763675.0,0,0,423624808.0,0,0,0,0,0,211812354.0,0,1590688790.0,0,0,0,3145725.0,0,0,958397964,2097150.0,0,0,0
Olden/health,18657874.0,0,0,119129529.0,1351476.0,1959928.0,2.0,3919856.0,0,56823653.0,0,287655128.0,0,6316689.0,0,1959928.0,0,20.0,162811085,6527280.0,0,0,3919856.0
Olden/em3d,55051827.0,0,0,218983779.0,0,480874.0,480874.0,128000.0,128000.0,109997779.0,0,443133771.0,0,626459.0,0,10.0,0,1105788.0,60697877,312969.0,0,0,0
Olden/voronoi,29510465.0,44447734.0,0,20684902.0,6355547.0,7809422.0,393298.0,37796554.0,60831317.0,12157142.0,0,564938279.0,0,1048583.0,21644859.0,1441793.0,0,786432.0,263594376,524291.0,0,0,27460068.0
Olden/bh,435983656.0,4183647.0,3304757.0,1734296416.0,200571702.0,24138079.0,65426245.0,203238780.0,142491867.0,672115403.0,0,3654609999.0,0,0,0,20097.0,20000.0,0,1352484898,20.0,0,0,187312.0
Olden/bisort,59869690.0,0,0,246221413.0,0,0,0,0,0,163472179.0,0,1093689124.0,0,56199678.0,0,29148412.0,3.0,42674045.0,580671548,6.0,0,0,36175916.0
Olden/tsp,1048577.0,0,0,360376878.0,86597611.0,80232446.0,3145725.0,169918441.0,339836880.0,92633481.0,0,2128274903.0,0,2.0,0,5259258.0,0,0,770105912,0,0,0,1048575.0
Olden/power,264602430.0,0,0,1174134247.0,261905307.0,75629855.0,189469685.0,371418399.0,159223682.0,396680356.0,0,3123341256.0,0,473.0,0,0,0,0,1190310214,1848.0,0,0,59.0
Olden/mst,6748489.0,0,0,37300675.0,0,0,0,0,0,19065151.0,0,119443977.0,2497500.0,5997002.0,0,2999001.0,0,4995000.0,47927110,1003002.0,0,2497500.0,0
Olden/perimeter,26568010.0,0,0,163760634.0,0,0,0,0,0,101310289.0,0,399654704.0,0,13981010.0,0,4893351.0,0,0,207278070,8388605.0,0,0,0
MiBench/automotive-susan,76561661.0,0,0,83730071.0,0,1.0,738.0,1253.0,514.0,28537221.0,0,389604648.0,0,50118600.0,0,110592.0,0,0,180386556,27214799.0,0,0,0
MiBench/automotive-basicmath,7434535.0,2124288.0,0,11478904.0,554437.0,546820.0,783354.0,1470994.0,281670.0,4497400.0,0,26626367.0,2124288.0,0,0,0,8497152.0,0,14446940,934321.0,0,0,0
MiBench/consumer-lame,59090749.0,2499973.0,323664.0,67306704.0,92447953.0,13719291.0,841404.0,113839867.0,35429994.0,48221819.0,0,218672167.0,1494496.0,1418345.0,5541642.0,135087.0,5133346.0,3681.0,52192641,13021031.0,0,0,2393864.0
MiBench/office-stringsearch,352250.0,0,0,1077026.0,0,0,0,0,0,366515.0,0,1481643.0,0,0,0,0,0,0,716446,13087.0,0,0,0
MiBench/security-rijndael,3247793.0,203087.0,0,11976183.0,0,0,0,0,0,4262882.0,0,141676645.0,45466019.0,11.0,2.0,33.0,69.0,0,21718622,203070.0,0,0,49728490.0
MiBench/telecomm-CRC32,26610193.0,26610191.0,0,53220393.0,0,0,0,0,0,26610198.0,0,186271358.0,26610191.0,0,1.0,0,0,0,79830593,0,0,0,53220383.0
MiBench/telecomm-FFT,2211862.0,491537.0,0,4374699.0,999424.0,0,65551.0,1998893.0,1228831.0,1589319.0,0,22151530.0,491520.0,262150.0,491520.0,0,491551.0,262144.0,6963410,1.0,262144.0,262160.0,1.0
MiBench/network-patricia,40130.0,1500943.0,0,4566811.0,0,0,0,0,0,2633867.0,0,15324170.0,0,0,0,0,769092.0,0,3863842,769092.0,0,0,0
MiBench/consumer-jpeg,3879176.0,238779.0,1080524.0,2606449.0,0,0,0,0,0,1087746.0,0,21159384.0,0,1151434.0,609762.0,49.0,129931.0,2.0,7458060,271627.0,5.0,60.0,34.0
MiBench/network-dijkstra,15457284.0,0,0,72287385.0,0,0,0,0,0,39914793.0,0,123109922.0,0,0,0,0,0,100.0,26099346,0,0,0,0
MiBench/automotive-bitcount,114125078.0,65898361.0,38019305.0,197726848.0,0,0,0,0,0,81500073.0,0,360128066.0,7875000.0,7.0,0,0,0,0,180983680,13254056.0,7.0,7.0,0
MiBench/security-blowfish,1959.0,0,0,4871.0,0,0,0,0,0,1677.0,0,7469.0,0,0,0,0,0,0,1680,0,0,0,0
MiBench/security-sha,25423938.0,5074401.0,0,27606731.0,0,0,0,0,0,9338092.0,0,127983552.0,8119438.0,0,11163680.0,0,8119834.0,0,45874983,13041208.0,50744.0,0,14817248.0
Shootout/fib2,701408732.0,0,0,2805634932.0,0,0,0,0,0,1402817466.0,0,4208452396.0,0,0,0,0,0,0,2805634934,1402817464.0,0,0,0
Shootout/heapsort,454767818.0,0,1.0,1203477488.0,0,342354823.0,8000000.0,8000000.0,0,382354836.0,0,3890400506.0,0,8000001.0,0,0,11999998.0,8000000.0,692365857,0,0,0,0
Shootout/hash,60418706.0,0,0,831954276.0,0,0,0,0,0,490024864.0,0,1844657874.0,0,43270421.0,0,0,0,0,553696579,0,0,7000000.0,0
Shootout/hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shootout/ackermann,1391982.0,0,0,6966017.0,0,0,0,0,0,4180017.0,0,12535979.0,0,0,0,0,0,0,8358001,2785998.0,0,0,0
Shootout/random,800000000.0,0,0,800000002.0,0,0,400000000.0,400000000.0,0,400000001.0,0,1600000001.0,0,400000000.0,0,0,0,400000000.0,1200000004,1.0,0,0,0
Shootout/objinst,140000021.0,0,0,420000075.0,0,0,0,0,0,140000046.0,0,2030000223.0,0,0,0,0,0,0,1750000095,0,0,0,7.0
Shootout/strcat,20000000.0,0,0,40000047.0,0,0,0,0,0,20000024.0,0,100000134.0,0,21.0,0,0,0,0,20000072,10000000.0,0,0,0
McCat/05-eks,1107328.0,0,0,2763963.0,809328.0,59661.0,27054.0,3165118.0,793448.0,918421.0,0,23209766.0,0,8638.0,0,0,0,0,4255737,79497.0,0,0,0
McCat/12-IOtest,64417200.0,0,0,96625824.0,0,0,0,0,0,48312912.0,0,518021713.0,0,8052150.0,0,0,0,0,284509380,0,0,32208609.0,0
McCat/01-qbsort,7736368.0,0,0,19684052.0,0,0,0,0,0,11288982.0,0,76740903.0,0,4000.0,0,0,0,0,19286766,5202000.0,0,0,0
McCat/03-testtrie,286517.0,0,0,1974795.0,0,0,0,0,0,1194794.0,0,4111991.0,0,0,0,0,0,0,1180185,145588.0,0,0,123956.0
McCat/09-vor,401012.0,0,0,45348248.0,907.0,2048.0,947.0,2180.0,1119.0,26262302.0,0,159287337.0,0,902426.0,0,0,0,0,38266119,802984.0,0,0,50121.0
McCat/17-bintr,180210.0,0,0,37090240.0,180000.0,0,1.0,0,0,20675290.0,0,74994738.0,0,0,0,0,0,0,28013589,0,0,0,857427.0
McCat/15-trie,4669.0,0,0,189307.0,0,0,0,0,0,143114.0,0,457019.0,0,15.0,0,0,0,0,99575,0,0,0,1023.0
McCat/08-main,341010.0,0,0,8847291.0,16345702.0,828903.0,2.0,21758240.0,831414.0,4261245.0,0,101856393.0,0,0,0,0,0,0,21767008,0,0,0,0
McCat/04-bisect,17179352.0,0,0,74752177.0,71896.0,23006203.0,11506465.0,25469.0,22989464.0,11547732.0,0,155581997.0,0,4.0,0,0,0,0,28920509,5.0,0,0,0
cpu2006/433.milc,0,0,0,32.0,0,0,0,0,0,21.0,0,37.0,0,0,0,0,0,0,26,4.0,0,0,0
cpu2006/403.gcc,108226013.0,196150161.0,528822.0,1044652868.0,9031.0,6746.0,15731.0,11408.0,3729.0,563774527.0,0,2112200786.0,33887495.0,7302591.0,18572853.0,1813384.0,33038690.0,37861.0,775857500,21219728.0,13369799.0,10164221.0,8134610.0
cpu2006/429.mcf,20076389524.0,0,0,133899282296.0,6.0,0,0,6.0,0,74402887786.0,0,389899934457.0,0,1972631868.0,0,1270518325.0,0,7224533.0,86566351355,46793379965.0,0,0,22464767.0
cpu2006/470.lbm,2048274964.0,46235924.0,0,184364685.0,1648838880.0,8406240.0,51296720.0,1594238880.0,1027950000.0,96673902.0,0,7405606973.0,0,4006528.0,1000048.0,600000.0,0,400000.0,745010397,0,0,0,0
cpu2006/401.bzip2,932072127.0,42690613.0,34474886.0,1444792241.0,0,0,0,0,0,851050306.0,0,7146972031.0,57623666.0,3310656.0,51207527.0,677065.0,92464786.0,58.0,2244181151,274576194.0,397432.0,397432.0,62914636.0
cpu2006/456.hmmer,53008951721.0,973.0,0,76891086671.0,410618577.0,410453279.0,80958586.0,41335379.0,326047.0,49321863558.0,0,444776150439.0,0,161693328.0,18.0,80740414.0,0,80740415.0,61394063490,40730793462.0,0,0,0
cpu2006/464.h264ref,95815420442.0,322890301.0,1910152248.0,91605723867.0,15892077.0,12561729.0,13609.0,15928941.0,6236458.0,39921095503.0,0,543797894783.0,143974782.0,3495741978.0,209472401.0,821503185.0,3322087899.0,327044989.0,209422721725,51746721204.0,44597743.0,44663614.0,269426339.0
cpu2006/400.perlbench,13200039.0,7264909.0,25581.0,141049180.0,58.0,6237.0,16.0,46.0,0,82218605.0,0,278859557.0,76731.0,345981.0,997634.0,90290.0,89674.0,8.0,91436427,1412642.0,3364.0,342.0,86945.0
cpu2006/458.sjeng,1699571217.0,146515220.0,155436985.0,5291127081.0,0,21.0,21.0,21.0,0,2968477578.0,0,10844543252.0,6528.0,9658980.0,2497.0,803.0,11253038.0,2150347.0,3259479888,237334276.0,760.0,8667883.0,107484661.0
